   ERROR: 2024-10-31 03:21:02,774:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:51: #33-les-fonctions-de-base: No such file or directory
   DEBUG: 2024-10-31 03:21:02,774:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,775:      pdf_renderer.py:  470: printSegment: 3.3.1. Gérer la console
   ERROR: 2024-10-31 03:21:02,775:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:52: #g%C3%A9rer-la-console: No such file or directory
   DEBUG: 2024-10-31 03:21:02,776:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,776:      pdf_renderer.py:  470: printSegment: 3.3.2. Les opérations et calculs
   ERROR: 2024-10-31 03:21:02,777:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:53: #les-op%C3%A9rations-et-calculs: No such file or directory
   DEBUG: 2024-10-31 03:21:02,777:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,778:      pdf_renderer.py:  470: printSegment: 3.4. Les commentaires
   ERROR: 2024-10-31 03:21:02,778:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:54: #34-les-commentaires: No such file or directory
   DEBUG: 2024-10-31 03:21:02,779:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,779:      pdf_renderer.py:  470: printSegment: 3.4.1. Les commentaires en fin de ligne
   ERROR: 2024-10-31 03:21:02,780:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:55: #les-commentaires-en-fin-de-ligne: No such file or directory
   DEBUG: 2024-10-31 03:21:02,780:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,780:      pdf_renderer.py:  470: printSegment: 3.4.2. Les commentaires multi-ligne
   ERROR: 2024-10-31 03:21:02,781:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:56: #les-commentaires-multi-ligne: No such file or directory
   DEBUG: 2024-10-31 03:21:02,781:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,782:      pdf_renderer.py:  470: printSegment: 3.5. Les boucles
   ERROR: 2024-10-31 03:21:02,782:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:57: #35-les-boucles: No such file or directory
   DEBUG: 2024-10-31 03:21:02,782:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,783:      pdf_renderer.py:  470: printSegment: 3.5.1. For loop
   ERROR: 2024-10-31 03:21:02,783:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:58: #for-loop: No such file or directory
   DEBUG: 2024-10-31 03:21:02,783:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,784:      pdf_renderer.py:  470: printSegment: 3.5.2. While loop
   ERROR: 2024-10-31 03:21:02,785:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:59: #while-loop: No such file or directory
   DEBUG: 2024-10-31 03:21:02,785:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,785:      pdf_renderer.py:  470: printSegment: 3.6. Les conditions
   ERROR: 2024-10-31 03:21:02,786:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:60: #36-les-conditions: No such file or directory
   DEBUG: 2024-10-31 03:21:02,786:      pdf_renderer.py:  470: printSegment: l
